,player_name,year,team,player_position,player_height,player_weight,process_status
4582,Brad Buske,2009,The Citadel,-1,-1,-1,Failure: Did not find player
4583,Brion Stafford,2009,Texas Southern,-1,-1,-1,Failure: Did not find player
4584,Aaron McReynolds,2009,Mississippi Valley St.,-1,-1,-1,Failure: Did not find player
4585,Jesse Gonzales Jr.,2009,UT Rio Grande Valley,-1,-1,-1,Failure: Did not find player
4586,Mike Vandahl,2009,Denver,-1,-1,-1,Failure: Did not find player
4746,Brian McDonald,2010,Northeastern,-1,-1,-1,Failure: Did not find player
4785,Andrew Jones III,2010,Penn St.,-1,-1,-1,Failure: Did not find player
4898,Larry Williams Jr.,2010,Auburn,-1,-1,-1,Failure: Did not find player
4993,Logan Nourse,2010,Dayton,-1,-1,-1,Failure: Did not find player
5323,P. J. Alawoya,2010,McNeese St.,-1,-1,-1,Failure: Did not find player
5805,Jeff Kari,2010,Lafayette,-100,-100,-100,Failure: Other Error
5834,John Williams,2010,UNC Asheville,-100,-100,-100,Failure: Other Error
5850,Ryan Butler,2010,Richmond,-1,-1,-1,Failure: Did not find player
5956,Alfred Jones,2010,Tennessee Tech,-1,-1,-1,Failure: Did not find player
6051,Yannick Braimbridge,2010,Howard,-1,-1,-1,Failure: Did not find player
6059,Marc Ellis,2010,Texas Southern,-1,-1,-1,Failure: Did not find player
6061,Jerime Anderson,2010,UCLA,-1,-1,-1,Failure: Did not find player
6100,Yonas Berhe,2010,Louisiana Tech,-1,-1,-1,Failure: Did not find player
6107,Issac Gordon,2010,UTEP,-1,-1,-1,Failure: Did not find player
6116,Sam Shew,2010,Georgia Tech,-1,-1,-1,Failure: Did not find player
6193,Ned Goertzen,2010,Bradley,-1,-1,-1,Failure: Did not find player
6284,Jimmy Nolan,2010,George Mason,-1,-1,-1,Failure: Did not find player
6307,Lex Mongo,2010,Massachusetts,-1,-1,-1,Failure: Did not find player
6326,Bubba Chisholm,2010,Illinois,-1,-1,-1,Failure: Did not find player
6369,John Taubeneck,2010,St. John's,-1,-1,-1,Failure: Did not find player
6440,Kelly Merker,2010,New Mexico St.,-1,-1,-1,Failure: Did not find player
6459,Kaycee Obi-Gwacham,2010,North Carolina St.,-1,-1,-1,Failure: Did not find player
6588,Mike Myers Keitt,2010,Monmouth,-1,-1,-1,Failure: Did not find player
6822,Dee Brown,2010,Bowling Green,-100,-100,-100,Failure: Other Error
6835,Anthony Jones,2010,Baylor,-100,-100,-100,Failure: Other Error
6973,John Long,2010,Morgan St.,-100,-100,-100,Failure: Other Error
6980,Marius Chawa,2010,Savannah St.,-1,-1,-1,Failure: Did not find player
7062,Matt Cajuste,2010,Seton Hall,-1,-1,-1,Failure: Did not find player
7096,Darrell Tripp,2010,Cal St. Northridge,-1,-1,-1,Failure: Did not find player
7147,Dion Sims,2010,Michigan St.,-1,-1,-1,Failure: Did not find player
7151,C. J. Collins,2010,McNeese St.,-1,-1,-1,Failure: Did not find player
7157,Kenny Lawson Jr.,2010,Creighton,-1,-1,-1,Failure: Did not find player
7236,Jaime Sema,2010,UC Santa Barbara,-1,-1,-1,Failure: Did not find player
7282,T. Vazquez-Simmons,2010,Canisius,-1,-1,-1,Failure: Did not find player
7294,Justin Roper,2010,Montana,-1,-1,-1,Failure: Did not find player
7361,Joe Bucher,2010,St. Bonaventure,-1,-1,-1,Failure: Did not find player
7396,Michael Loyd Jr.,2010,BYU,-1,-1,-1,Failure: Did not find player
7413,Marques Johnson,2010,Georgia St.,-100,-100,-100,Failure: Other Error
7431,Drew Godwin,2010,Penn,-1,-1,-1,Failure: Did not find player
7471,Quintin Dailey,2010,Eastern Michigan,-100,-100,-100,Failure: Other Error
7475,Donte Lopez,2010,Lamar,-1,-1,-1,Failure: Did not find player
7483,David Buchannon,2010,Florida A&M,-1,-1,-1,Failure: Did not find player
7499,Anthony Mason Jr.,2010,St. John's,-1,-1,-1,Failure: Did not find player
7520,Tony White Jr.,2010,College of Charleston,-1,-1,-1,Failure: Did not find player
7521,Zach Beach,2010,The Citadel,-1,-1,-1,Failure: Did not find player
7570,Jameel Forbes,2010,Grambling St.,-1,-1,-1,Failure: Did not find player
7574,Morris Smith IV,2010,UTSA,-1,-1,-1,Failure: Did not find player
7577,Chioke Walker,2010,San Francisco,-1,-1,-1,Failure: Did not find player
